"","Cluster_1","Cluster_10","Cluster_11","Cluster_12","Cluster_13","Cluster_14","Cluster_15","Cluster_16","Cluster_17","Cluster_18","Cluster_19","Cluster_2","Cluster_20","Cluster_21","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9"
"11840006c0017r",0.139499374722303,0.0168904026809685,0.0800302254847009,0.0181334526422047,0.218840835960355,0.108899571432303,0.0779317894765933,0.0445169837982614,0.0160549688398033,0.00791771994070555,0.145980957981378,0.366844370032748,0.224757057906534,0.370605982372499,0.092879283626681,0.107742902034199,0.0390766292478641,0.131732503302004,0.342833746199642,0.0364176103462187,0.0734762018070329
"11840007c0017r",0.268946300866187,0.0483216818896436,0.0658096385558076,0.0968985345895216,0.303196509920857,0.360016403596454,0.107914654815649,0.0214195559585351,0.0197947172589565,0.026986181460202,0.0984591797627702,0.00770769938724546,0.203764327853763,0.447090318575726,0.0898035591988692,0.136121621729695,0.0359389561312601,0.0450614776354969,0.147712105107628,0.262844896186353,0.0850674207267516
"11840008c0017r",0.20500105175912,0.00706511339198903,0.0472995204721037,0.127171414889208,0.356340805006834,0.347918180832142,0.157422720590933,0.0280357901838011,0.0338353694602902,0.0288710195873184,0.118826743561779,0.0185781993687641,0.234269808625,0.39601963903462,0.0489209706377138,0.0470022897796968,0.0315817510141457,0.0333228094515309,0.112764533320342,0.350329460325937,0.0749899007740027
"11840009c0017r",0.294104817095852,0.0412305272545094,0.0597383990058304,0.0487417731727373,0.358184485257081,0.378190352189881,0.223422086789471,0.0647921527150963,0.00798238522485399,0.000329694469699433,0.0899529208233122,0.0311128793852277,0.139326440952263,0.381774143672383,0.0117124524608255,0.0421107143385297,0.0919025090655047,0.0895205293079438,0.0898306666270735,0.259435856234467,0.200368471554818
"11840010c0017r",0.201705829435826,0.0720251121673645,0.0901070682141884,0.020564600163487,0.301420261999129,0.362525832160501,0.200379022907754,0.126783293940947,0.00927354108766085,0.0283294030840423,0.135970525781564,0.107340806765131,0.141693343318164,0.348400171232934,0.0386596568900586,0.04824999584899,0.0957924792917432,0.150476791050877,0.0674966792004298,0.231189966239812,0.133819180745317
"11840011c0017r",0.28931950829487,0.028476572907257,0.0462315094138953,0.0206925006918979,0.318586787680638,0.432948744049764,0.24324253918998,0.0308244397091591,0.0702039680555959,0.0277738037737276,0.140367669220491,0.00723178936570129,0.173611873723036,0.349991876578022,0.0627554722252841,0.0469832019024143,0.0395817168439943,0.106388052949179,0.0694040697083239,0.311914759835291,0.069520769181048
"11840012c0017r",0.258235997444305,0.028104115698098,0.0739572942421123,0.0436963541232869,0.235429614090835,0.407104559738288,0.290901615533083,0.101324992040953,0.0185181289293635,0.0395634439261981,0.121386160682363,0.0753223005657769,0.12059574192516,0.356242780899595,0.0487833695232306,0.0431201379401391,0.0881924043942684,0.0769977153419341,0.04686262360522,0.220249258185168,0.100374630094369
"11840013c0017r",0.273929420036465,0.00294516613953517,0.0705656418378601,0.0431363122598385,0.211630732891475,0.383093779581297,0.230734942749931,0.0767975548790238,0.0332084550650251,0.0200336531742532,0.165771901692943,0.0641272063163616,0.09683023042032,0.336270982447695,0.044958665574541,0.0478447141369793,0.14383165609959,0.135875436440178,0.0579191418530478,0.316348275918177,0.160208705815759
"11840014c0017r",0.269468904469276,0.0101253853223154,0.0655864092907022,0.0206865357641728,0.287129045331652,0.225997336458869,0.0964026863267591,0.0135901128842586,0.0150238852342239,0.0703850323285537,0.0993896504117433,0.0146460680438122,0.322686960776003,0.425214233207953,0.0766216880732933,0.131722278178167,0.0217630988532973,0.0362996030402236,0.159760614194028,0.263684240953606,0.0963872074145359
"11840016c0017r",0.135624989256949,0.0519613846645965,0.0562189973739956,0.10096081444398,0.456273179245486,0.467145007409317,0.18446220681252,0.0365008069256273,0.0132621525238486,0.0111420927006662,0.0944449569897488,0.0548573685322082,0.111245209978176,0.397477895016824,0.0836268662261986,0.04429592258401,0.0432051604609142,0.10246316478491,0.10031546572875,0.210322316999174,0.0736487229620434
"11840018c0012r",0.201145649421175,0.0184475555100105,0.0408538408307011,0.0593497953876502,0.390890887944543,0.420300375375874,0.197050987187341,0.0859274392078492,0.00254201094517445,0.0645622239209949,0.112935217298192,0.0880562408568343,0.103217210989826,0.329158185659323,0.0483020096896026,0.09224062923966,0.0995931763639626,0.104900398588622,0.0949921542764538,0.250806126246942,0.117035338379696
"11840019c0017r",0.224883611421439,0.00519531985301013,0.172820484559275,0,0.203125072637677,0.142089874501052,0.165758590420594,0.0904537129519365,0.051706394851705,0.0722548571127289,0.133785670292884,0.0452523369654659,0.23353432103106,0.37844663548627,0.062685575174987,0.0453477244610384,0.0665306905842633,0.0736043605037809,0.162694554424493,0.263087542139116,0.148567012418069
"11840020c0017r",0.267930362334953,0.0664458083165601,0.0547981583918711,0.0224019129322371,0.308287021554843,0.439374311046265,0.311627147314247,0.0844307439398917,0.0131420304949191,0.000974050753860977,0.123666618000872,0.0534851331275373,0.129808136043206,0.356527228931685,0.0550533914233772,0.0554105077334619,0.0772971485844475,0.118040618765039,0.0789676035440152,0.242032347047781,0.111189679024934
"11840021c0017r",0.213329809096313,0.00513053282918651,0.0798208709289728,0.110281576769881,0.359672114517455,0.344748915246002,0.155745945335446,0.0376913543103058,0.00932385554735227,0.14464629089088,0.137025419044837,0.0132647283411205,0.183875646187337,0.38716571083101,0.0551164548423257,0.043141787656469,0.0406149590894396,0.0950156736574137,0.114496464549167,0.210910770303507,0.116053895683427
"11840022c0018r",0.220937408970529,0.0445063279150864,0.0559467485619338,0.0153610109272601,0.34634432441718,0.435260628688963,0.196832448288636,0.0574253682907326,0.0132383527336897,0.0323648729805956,0.11417432672532,0.12716585943938,0.0680164181665203,0.361179861617124,0.0492582730745539,0.0477504773502747,0.0966562191371207,0.139926979453937,0.0792323398743923,0.256540330030206,0.0920849679151777
"11840023c0013r",0.251858616109095,0.0109421706863272,0.0624159600549173,0.0362987166941999,0.357889902634906,0.435191645129828,0.170517750189243,0.0382138299487492,0.0210350903724809,0.0290925791290679,0.117219116528362,0.0411467726949057,0.135612173963772,0.437385137216656,0.0638733734526906,0.0752806192879425,0.087550927237267,0.0998248211527508,0.0905350594472276,0.230526000371178,0.0768131348465704
"11840024c0017r",0.254182538851019,0.0202633309439246,0.0598851343409308,0.00291318122994949,0.329611827636651,0.426701122858312,0.245757400472041,0.0591402313147457,0.0130836559838958,0.0142607387351461,0.119930145789503,0.0260754778932081,0.0830527661552471,0.335500937722112,0.0365862470801896,0.113255069051651,0.162534523401995,0.135690399225761,0.059113945846964,0.266472215439973,0.122927354480181
"11840025c0017r",0.337175071195823,0.00235396416460128,0.0417642874627813,0.0848493933993459,0.267120676657108,0.382240340855331,0.129401673581249,0.0247277908566154,0.0075064520687839,0,0.137189150048643,0.031278159948541,0.103652194349562,0.325834864721775,0.078401511328107,0.147837644159632,0.136443399529448,0.0873256279500807,0.0887885366843312,0.299257956431586,0.0517125158398146
