"","R3388_YZ_1","R3388_YZ_2","R3388_YZ_3","R3388_YZ_4","R3388_YZ_5","R3388_YZ_6","R3388_YZ_7","R3388_YZ_9","R3388_YZ_10","R3388_YZ_11","R3388_YZ_12","R3388_YZ_13","R3388_YZ_14","R3388_YZ_15","R3388_YZ_16","R3388_YZ_17","R3388_YZ_19","R3388_YZ_20","R3388_YZ_21","R3388_YZ_23","R3388_YZ_24","R3388_YZ_25","R3388_YZ_26","R3388_YZ_27","R3388_YZ_28","R3388_YZ_29","R3388_YZ_30","R3388_YZ_31","R3388_YZ_32","R3388_YZ_33","R3388_YZ_34","R3388_YZ_35","R3388_YZ_36","R3388_YZ_37","R3388_YZ_38","R3388_YZ_39","R3388_YZ_40","R3388_YZ_41","R3388_YZ_42","R3388_YZ_43","R3388_YZ_44","R3388_YZ_47","R3388_YZ_48","R3388_YZ_49","R3388_YZ_50","R3388_YZ_51","R3388_YZ_52","R3388_YZ_54","R3388_YZ_55","R3388_YZ_57","R3388_YZ_58","R3388_YZ_60","R3388_YZ_61","R3388_YZ_62","R4163_YZ_1","R4163_YZ_2","R4163_YZ_3","R4163_YZ_5","R4163_YZ_7","R4163_YZ_8","R4163_YZ_9","R4163_YZ_16","R4163_YZ_17","R4163_YZ_18","R4163_YZ_19","R4163_YZ_20","R4163_YZ_21","R4163_YZ_22","R4163_YZ_23","R4163_YZ_25","R4163_YZ_26","R4163_YZ_28"
"Cluster 1",0.0836397046597057,0.124274476790407,0.0896952250448225,0.163277208960589,0.0948743996429738,0.12667602931266,0.0992561608987438,0.139224519444934,0.096661130161276,0.113437109424452,0.0702515191760877,0.132805878152039,0.174507046358874,0.111074646185882,0.133596867824671,0.100682168824411,0.1199106748388,0.101415454309459,0.136921811900876,0.116844281569709,0.131386459842171,0.0949055596868526,0.169454054008657,0.146923086570293,0.133696032881174,0.115966126340591,0.137794495359016,0.0533271569028585,0.0954774930806634,0.0812083507029364,0.141553310320472,0.0951381009317534,0.0705538179442993,0.116163714062337,0.137677703552354,0.111461972164589,0.16213708264048,0.124702199374097,0.0938244294294992,0.101092786816154,0.161374561071152,0.091125420887594,0.0703121944126283,0.120592101119829,0.141182046249547,0.167416104011407,0.122758641759286,0.0975575322400883,0.103646607676488,0.120614437805717,0.145552958257562,0.139570261349155,0.0909418197131585,0.0966390493074426,0.118328700728303,0.105596396352592,0.15903809397595,0.177738815566193,0.133843939357576,0.056997652846738,0.188159918496949,0.170743661843897,0.0762721914401543,0.110535429987731,0.103211776820442,0.117713320977686,0.0627051341028914,0.0916673146427577,0.150417061272172,0.137744739605287,0.0578576550493006,0.0856795242512705
"Cluster 10",0.0941446689577191,0.0726580026257835,0.115830779142605,0.0568441575928506,0.0570118799192029,0.0795119668745188,0.116665256736133,0.0475422058296472,0.0846072967657727,0.0721783128984137,0.0660622868641749,0.0717475313780969,0.0565912610308129,0.0641805122463969,0.0712134920645234,0.0682108761716605,0.0545713975814928,0.0629180502395899,0.0605359993097568,0.0814299797239968,0.0627745704626888,0.113693743781429,0.0931824874591133,0.0735883063645952,0.0539178955858611,0.063977860427464,0.0834904369700973,0.0683932122805005,0.0826651027372471,0.0802571133581353,0.059977373001393,0.0666081469256593,0.0650763850572372,0.0741051245091485,0.0559716490475626,0.0628779514347637,0.0400140551590929,0.0719042797651516,0.0665586950457289,0.0711398869623529,0.0642019552450429,0.0749346379237504,0.0662360073235984,0.0610464640449302,0.064458171433511,0.0570690799613424,0.0786167124348081,0.0652795954500428,0.0584945543025388,0.0743868911581514,0.0589607845501911,0.0892271155926692,0.0785271275136145,0.112574803483176,0.0818036011739991,0.0677953979117068,0.0530753238945647,0.0645577610496832,0.0801345601906062,0.077877906585252,0.061287535304508,0.0757530531995497,0.0839480952961683,0.0747730905055836,0.0716479527590447,0.068296798715997,0.068071318030005,0.0742305421813104,0.0574134534573875,0.0732118885345243,0.0907284668908829,0.0649412845544744
"Cluster 11",0.132724949276832,0.201811966390293,0.14389244808058,0.178429046311566,0.041495328112988,0.152023077604525,0.166189512170561,0.0116382406721164,0.122114511912642,0.143833224460571,0.0367258500076642,0.160592144519723,0.0956508028591958,0.107893973070292,0.115182704489019,0.0260632738016107,0.0465538109760215,0.0259725425162569,0.0831778642621783,0.103754908018689,0.142939159551502,0.100881496893992,0.0959538105759856,0.20578654695873,0.0161965242335011,0.0502632542776731,0.0457889654375867,0.0482671827487083,0.0838244319081246,0.0867428074613336,0.140804046225464,0.0590340355262245,0.0845540544480572,0.0896398421045494,0.0712761202914707,0.136375715657694,0.0146107919521523,0.0992357876825445,0.114702661610779,0.0933989157919122,0.0113171047946016,0.0584260921908639,0.0527434715445709,0.141858591774127,0.102013889565656,0.10915185528827,0.105103571453468,0.0381067496782504,0.0035607112088566,0.131035531150428,0.0791709131691888,0.115433000013698,0.0413503835430543,0.158693076725978,0.10240284591687,0.0400150172913757,0.0460159051637379,0.0860986549052361,0.175269649746623,0.0468648775579603,0.137565576752382,0.108403836329465,0.0679156123306753,0.065921544526724,0.0645286101476952,0.117494953997373,0.10612514591373,0.0721218403830338,0.11560938178914,0.0942452244514662,0.181024034481094,0.0470310459661919
"Cluster 2",0.334439211608373,0.228165717877877,0.331225362431106,0.142195644641024,0.259609633670101,0.24442270661432,0.284650404307397,0.309161912095212,0.28289421449587,0.295311261081901,0.385408875640958,0.261704863993866,0.122295384379702,0.298562965936795,0.244605471725641,0.328995540498756,0.281940824244744,0.38199571791859,0.201226615180219,0.270173849413437,0.289673195226041,0.316528152673527,0.2936742757159,0.15811929879754,0.260893495366888,0.311772304818491,0.327348355776298,0.409027849725492,0.355264596107836,0.350076185749742,0.220034573061269,0.259965780567462,0.360212017823608,0.349634806589292,0.211118958681217,0.267342365828667,0.158124563690292,0.213782279108886,0.315429529127819,0.344833614844484,0.231237556123225,0.347119978021058,0.41006363219919,0.227201340076766,0.147469074002863,0.171193000058896,0.284243536789828,0.33120580790533,0.300688831456979,0.301824274040601,0.303178225383806,0.232203852152631,0.411323085310504,0.262509742954018,0.224196925110224,0.235649183095965,0.170206371861876,0.166766364597437,0.287480755695377,0.187767934552804,0.182656358623538,0.300724206534356,0.220707395128373,0.268841469560303,0.369308647247305,0.406304716312298,0.438645743769094,0.4441450224123,0.262441730598198,0.286423112901965,0.438239975201197,0.183928857968163
"Cluster 3",0.000597629273761998,-0.026256318677436,-0.00378985798205735,0.0394932524061707,0.0750318064206643,0.12340620747422,-0.016142982632351,0.218372590399503,-0.0127748334462273,0.116984936717091,-0.00362625007164015,0.104503233140585,0.0516979301940667,0.0046298018318951,-0.0193504222620619,0.0062269889099518,0.158161768400514,0.279682303737206,-0.0216234374310459,0.022631729051037,-0.00561205060112295,-0.0201082190098347,-0.0332777500701635,0.0109249951882097,0.0952375603868534,0.0938591687295376,0.133021319451333,0.0371531882243471,0.02504879294978,0.0257269689656801,-0.0169179209226181,-0.0260738703509619,0.0345729094395537,-0.022440770945143,-0.00300680979775485,0.0236956575487894,0.312731525735995,-0.0166153873445516,0.137469699720541,0.0220470930064449,0.183066117750506,0.0795837412213069,0.145276420004553,0.0333464663932646,-0.0214366437755371,0.258229671998321,-0.0286935806349796,-0.0096831229563298,0.187113462319707,0.0176662700375998,0.143733455345635,-0.0199229838744476,-0.00959875301723779,-0.0272218393894939,0.0522864943046238,0.041833004616477,0.064879390957636,0.0461615723664263,0.0608247292384309,0.041833004616477,0.0564759057821303,0.0597021157405812,0.041833004616477,0.0449281029833112,0.0441114190089135,0.063676595552501,0.0490751538831359,0.0485366607545765,0.0547674010021246,0.0463558083230471,0.0699529434901752,0.0583503118234986
"Cluster 4",0.202242051334145,0.192726752215566,0.196739932553828,0.251766104045958,0.198346155294179,0.244494236025096,0.180877197613819,0.183859673874424,0.208666871314145,0.314265280263729,0.259288079279374,0.246589474475109,0.215963434181877,0.294394357609397,0.157624359585513,0.184380965004495,0.197451434558383,0.244471366654963,0.196830294530456,0.299815526812546,0.205064953923021,0.17374373075314,0.135405761532702,0.169679197256592,0.193259722088971,0.240307936306109,0.202753147695242,0.256701008695157,0.210661545701065,0.26969110695061,0.257530566340342,0.161133005219541,0.293262336333803,0.198649700235781,0.175838721038522,0.20879575896373,0.18264268085991,0.157473085360656,0.259755465347068,0.211784801463224,0.257545056154783,0.294394658779206,0.240462081044371,0.221729705266473,0.188177847881101,0.262039618372341,0.179814478214872,0.193106105504995,0.219396293404377,0.259623661939088,0.230879161778288,0.184508821766749,0.232444809964598,0.220753976920491,0.216576437514634,0.175401274535636,0.149111649043662,0.18961471148661,0.222371110180868,0.18537282058742,0.24140850538712,0.257385583750148,0.177260993441188,0.229244715552381,0.227356531372244,0.27042572904417,0.219927486575215,0.209376641526798,0.206144094658352,0.211170329943327,0.327668372006201,0.224117698822001
"Cluster 5",0.0509416840576373,0.0834204401637433,0.038749643303842,0.0592858130877556,0.100536692388922,0.0476473948826547,0.0583591745070272,0.0683694140830309,0.0784879729601112,0.0578208429465392,0.0462634666618255,0.101579663651233,0.0820685332612588,0.0338277528639976,0.0775112783646189,0.0968356690477947,0.0626096344381037,0.0388956500311166,0.0742958540741414,0.0366199040538765,0.0652885911967392,0.0526500470441087,0.0602867034936196,0.105580248501858,0.0878246819212894,0.0818078482463755,0.0692332007324123,0.0868720577003077,0.0438120944165724,0.0476150375524195,0.0763509198380422,0.0854492054171191,0.0514952839778,0.0706522116961611,0.111822342122076,0.0927367357930532,0.0737809343612289,0.105295275522113,0.0517224325143469,0.0620323089245798,0.0428454159712322,0.0554501293815575,0.0764037963563846,0.116557212002821,0.0938989423090955,0.0665696645925112,0.0619503160647555,0.0734388522928753,0.0711738190455673,0.0400640364883708,0.0529570720163517,0.0428207505721104,0.065133814942712,0.0571299665507572,0.0514562815824482,0.100843188505311,0.0854622372695802,0.0641567040232703,0.0427421796566861,0.121198877890885,0.0405292706469298,0.0387779667942,0.116417894428498,0.0736722577737524,0.0442628042575003,0.0313694023037664,0.0733082220067593,0.0390087340425942,0.0658355032488783,0.0577817556492091,0.0311818097090831,0.152937719673501
"Cluster 6",0.0498696673572135,0.0232994255694816,0.0345510117774797,0.0474196664806274,0.0394125487340762,0.0354795459324526,0.0397364167887064,0.0240156569921337,0.0553200596536852,0.0690885144278494,0.0520862743285372,0.0498003474402114,0.0284624334194204,0.0409089658657661,0.0265369453749122,0.0803543925375342,0.0250811030377657,0.0551767318993306,0.0389704094006271,0.0380259506458973,0.0318495001788736,0.0205337091332912,0.0727574961341002,0.0383330453847005,0.021631737832044,0.0463430686258568,0.0442699363839073,0.0578684047369131,0.0760948340541624,0.0727535827508439,0.0486557397858128,0.0229075828614417,0.0487631087330184,0.0323074648283328,0.0209437303376891,0.0362062267721401,0.0232138237150488,0.0338819712579626,0.0554215339251616,0.0389220271758341,0.033915050390394,0.0568521504021715,0.0367818583392205,0.0472991328916531,0.0528116232401003,0.0404142497063145,0.024745432234727,0.0354754814240311,0.0212221774966593,0.0393237565185496,0.0406528052070955,0.0435142247358309,0.0575500674064662,0.070026846270493,0.0530289617004848,0.0283364365386821,0.0343235194832741,0.0357407092119545,0.046632377516769,0.037124398347054,0.0292583020403962,0.0596371245174321,0.0435491706183383,0.0276672010884164,0.0331676776963368,0.0439145589063104,0.0607655781775815,0.0402004930199271,0.0282851564328861,0.0582168926316591,0.0727503734847556,0.0333475514325918
"Cluster 7",0.227991165100522,0.211859541596703,0.122724177647109,0.259867269089423,0.282880746144297,0.226224504903485,0.161185318500378,0.116733421036493,0.26613090726514,0.205976852273369,0.10699086226382,0.145514193368924,0.207968904028126,0.227171394500488,0.257977397318286,0.260315465832786,0.142470292922227,0.0866407369661683,0.267917214852884,0.146607874554724,0.182241610809766,0.165596758813351,0.0845394443995725,0.184549497251932,0.154800930260553,0.280672290290179,0.101099095379274,0.288021659087442,0.128358314659816,0.20409449677767,0.26381845691154,0.308457940558922,0.239664984464553,0.119975083022977,0.23879514797755,0.245297911484462,0.10237483822897,0.250011892970606,0.222126197502879,0.15526435863614,0.0963015252031112,0.238246964099596,0.162833903724324,0.26284671610629,0.274740670698587,0.101574837820989,0.131716141560422,0.218396968693576,0.128705252817712,0.125135045195523,0.138492922192861,0.261722508499854,0.16432011747463,0.170055090535453,0.289423308506928,0.198050092448441,0.186022095031199,0.174484787961253,0.204756035364154,0.239545355212674,0.132263309088838,0.0833073483859996,0.208695075672178,0.235987727301658,0.190093778949636,0.12303267879973,0.206738295892699,0.185214246012385,0.160741433232188,0.145124729008613,0.27781433029621,0.200704644260694
"Cluster 8",0.0108158160705192,0.0525767609633437,0.0084832314945737,0.0354817506789931,0.0465080764746519,0.0338883567223969,0.0273386280085976,0.0667104133283011,0.0268086108938643,0.0279867591438855,0.0320135366723054,0.0210204231118288,0.0983722522039392,0.00506980959619906,0.0172745615523568,0.0424500730130568,0.0492239424258375,0.048366873554939,0.0310964087110196,0.0128136117147317,0.0322048937192965,0.0263698496531814,0.0328337808580596,0.0214692741728237,0.074663837682491,0.0371242242419334,0.0402611196039564,0.0524836362661905,0.0420221372862372,0.0282912658823383,0.0376811579254796,0.0571894703572409,0.0253989311236335,0.0139658889503343,0.078468747119603,0.0344357793645846,0.0636186239361541,0.0245454972792578,0.0310312023310451,0.0182679192810472,0.0744525186124942,0.0216422772076416,0.030891493887652,0.0507795120289669,0.0338121207435435,0.0647741967348048,0.0171338841736668,0.0237805280415202,0.100443568322116,0.0326182383581069,0.0641303867241197,0.0261165947361151,0.0384635369494932,0.0414633192196238,0.0550514237181936,0.029520998964919,0.0256873419381831,0.0320902074644189,0.024940274669237,0.0444746282145884,0.025222808055634,0.0530310360034719,0.0450105762859929,0.0329266763456845,0.0295783369654059,0.0474225978507481,0.0541869671713183,0.0343333600445664,0.0620554313841754,0.0211605550743193,0.0341032350612551,0.0449133144912527
"Cluster 9",0.139114546118892,0.0878761672909791,0.196567678234977,0.0592780286259616,0.0913037325181611,0.0964354920301407,0.158434574174542,0.160809213401979,0.0680247588172507,0.0959461497854909,0.256284441578914,0.177067000805209,0.1195294009598,0.124934773444336,0.112763172388243,0.102680756326497,0.159720436937544,0.176311520222309,0.0741336298849821,0.2033072012384,0.140729611888887,0.176242745074484,0.24539656834931,0.0688876809799279,0.192325595172316,0.114379385556077,0.207134458807581,0.173182969485224,0.210340406413653,0.133005364751907,0.0923387954862792,0.110741571303341,0.169733800747417,0.318216131242962,0.114204821319875,0.0988692319566976,0.161561357283562,0.0597958886527155,0.105476418892507,0.204427574950016,0.189498413542305,0.135630181463603,0.181671019508557,0.080080566662562,0.0677772339946718,0.110577849580403,0.218790422228983,0.154567949344528,0.226572017011828,0.287994961680685,0.130206482873639,0.0932536918703348,0.200556106246688,0.14173732300212,0.110748732108108,0.0939334451340717,0.0923097453550477,0.167931985043815,0.199599285405416,0.0881954553827353,0.238181772963558,0.243667783685588,0.11556608055425,0.127082362432633,0.152992712858193,0.233542711202906,0.127156562725069,0.183936924491638,0.156041151738439,0.157288321621663,0.0754729249147368,0.0951611330855516
