"","Cluster_1","Cluster_10","Cluster_11","Cluster_12","Cluster_13","Cluster_14","Cluster_15","Cluster_16","Cluster_17","Cluster_18","Cluster_19","Cluster_2","Cluster_20","Cluster_21","Cluster_22","Cluster_23","Cluster_24","Cluster_25","Cluster_26","Cluster_27","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9"
"LP.01.01",0.347269030943889,0.0844053473079286,0.0397807127828527,0.0495892543511959,0.0761866842619813,0.054900885011149,0.199745663090215,0.0829640071012903,0.0245204319409836,0.231063903904146,0.0492680703860837,0.308720454394444,0,0.122858406317407,0.164119965234086,0.0744779858438236,0.114348687511176,0.0198565496028153,0.0575361507974975,0.377610165751241,0.0678640864906641,0.0689277872578457,0.111883780963059,0.210854067732398,0.0657618703173266,0.037488946171152,0.0701489208618092
"LP.01.02",0.353620603903784,0.13384810848447,0.0461315589549254,0.0402772150004997,0.164484665457935,0.111095878998837,0.225796850233351,0.0908322105897836,0.0417438248004193,0.244364440720203,0.0598545409891378,0.304066176819374,0.044695042784629,0.097659006913856,0.160604311869986,0.0424679458169405,0.115536877546401,0.0237611448586243,0.0414598642720252,0.364500757948988,0.0606583608806851,0.0682182870228349,0.0772080927059197,0.172174040136176,0.0550174661678822,0.0719061147449441,0.105640880563229
"LP.01.03",0.382145104413591,0.111221757258138,0.0658077940488264,0.0523494719614076,0.138766405605995,0.153142099315818,0.192152541291164,0.170978226506796,0.0739455222488844,0.181925118003973,0.0529200696194544,0.284812754934254,0.0734444112593386,0.204546715979784,0.135455652566965,0.00130184896435646,0.0126505269229791,0,0.0313984465194016,0.252272531885162,0.0812222074822135,0.052555875978605,0.0920404668671358,0.167136335344303,0.0548920050429313,0.094627774873173,0.109094504829958
"LP.01.04",0.129343026528187,0.100702660198868,0.236248003635587,0.0303905305841412,0.249620357029667,0.0610038312760809,0.164409484087807,0.0503713179656508,0.0962951176908183,0.197824458183699,0.236627018086392,0.101124714147207,0.0765604395281667,0.109577999372831,0.171910541404342,0,0.100239211820927,0.0120366429195669,0.364961908583336,0.56308545099093,0.0287646701255707,0.0708639087082495,0.051870522430133,0.210214781975785,0.0944199933624218,0.0181565468202183,0.10292255573597
"LP.01.10",0.361846968340734,0.0871231024239329,0.0360195226402634,0.0418833244565169,0.159613889880086,0.103112534481515,0.185726172373064,0.118059311352335,0.0612162815865412,0.076445842633435,0.0514945706609992,0.271567709741608,0.0499260489273444,0.128778248835399,0.190348093047521,0.0790494971490034,0.0203814090221834,0.00105421463091895,0.0677457896181157,0.403898186247483,0.0679377779394169,0.0697469732765233,0.083999459105789,0.227088804387902,0.0621071965986389,0.0405853013114627,0.0840597891018276
"LP.01.12",0.347279878896861,0.132666756064241,0.0234057012109723,0.0569435892061121,0.151663495769321,0.0852471221591877,0.154150014836104,0.125905471415632,0.0299982460056099,0.0382103001114063,0.0107732206318523,0.260929173403516,0.0404384925424456,0.125657925269416,0.153098240484834,0.14328094810772,0.023440356112367,0.023386220785183,0,0.361152852956145,0.109208042161827,0.0618708194842738,0.0949696969194216,0.233240430393283,0.0561331341925767,0.0566980036455452,0.116595331317397
"LP.01.14",0.402847292387015,0.0733771544778107,0,0.0527723382955866,0.168571338668905,0.0428034089290637,0.184616939138598,0.101854778463592,0.0549579369882841,0.223536296281611,0.0359459351303556,0.284663985820453,0.0683375632069876,0.101413401923719,0.182965487590969,0.134805990319892,0.0219939656767074,0,0.187808890412055,0.423840369482685,0.0962583371579858,0.0691039518618267,0.0907626953100019,0.225253358148548,0.0912456905810767,0.0389051957758757,0.0746654245737312
"LP.01.16",0.353158740445865,0.0819008140154199,0.0313043450536817,0.0587090411713213,0.158809430428483,0.0241289801208846,0.152197036060676,0.0692525261215547,0.0104292769847076,0.0392394457542295,0.0597653704720973,0.285958117414149,0.0396569280609209,0.0878295266406231,0.206192117212897,0.111147476558078,0.0389338326859185,0,0.266047054715451,0.459977794804312,0.0888861924904881,0.0635988247910844,0.101415911240177,0.234188175920632,0.074742975822622,0.0292181156125673,0.0658937320211954
"LP.01.18",0.293119443163156,0.0528397091447856,0.080693817645857,0.0477135850310862,0.11018249399944,0.0628372092141831,0.154149570452485,0.0936034372664954,0.0575157118633213,0.208547166994902,0.062077499462807,0.344670792211106,0.0164894758233191,0.129462591716615,0.200607338681012,0.0322236402063512,0.0229941187836,0,0.245487798051704,0.381936409720104,0.0873723240015105,0.0749640484617946,0.106124043919018,0.195291582596396,0.119131865305958,0.0571017791728395,0.053752689842048
"LP.01.19",0.309219910060683,0.139208350890836,0.0399134386609005,0.0516302424567665,0.154714939746359,0.0435160093531931,0.207946714276774,0.110886045965201,0.0263971876112708,0.0982714361158596,0.0583714730903086,0.302492890776734,0.0532158406467171,0.116183716773109,0.15919279127673,0.0671734374326021,0.0257146833727865,0,0.034547477386159,0.303663270208282,0.0482910051190271,0.0610035727792585,0.0945193221537537,0.208688660513799,0.109271513522788,0.0270200074610052,0.0763367051355303
"LP.01.20",0.350368916749891,0.141163583182328,0.0463685830648661,0.0144065117574643,0.179582640562872,0.0376295287335415,0.192102737598517,0.0777851068571121,0.0332044852361,0.0114349010905047,0.0449576813401324,0.296324446399494,0.021147482785885,0.0404294564611305,0.212387803096007,0.0373193204459689,0.0804484515631011,0.0276079340652499,0.145642568808595,0.546887701264213,0.0613320104115658,0.0877363807027334,0.0829996194254313,0.191007316598925,0.0583088113493538,0.00825149342638294,0.0733335000444686
"LP.01.22",0.357067705930935,0.237543150818247,0,0.0045968277554685,0.170540932279378,0.0388952099793686,0.144063356142763,0.0272760702612661,0.0956736869781888,0.335839993255136,0.136562078871667,0.309735480165858,0.0456902672754331,0.0747855230967577,0.15241921081245,0.00135365771727011,0.0295559861279362,0.00259372612019997,0.284260479292534,0.101691389287306,0.0566772690795518,0.0916914545119053,0.0882980244136302,0.0856930341264058,0.061572623056297,0.0602039011920862,0.123656812244906
"LP.01.24",0.365483222100203,0.171125655351553,0.0340698219479502,0.0767006205900262,0.158507149396326,0.120543506949707,0.156702643237612,0.122563579210913,0.0249535708768896,0.0283712248431572,0.0403636543267906,0.284208384098403,0.0861771301968586,0.126113784446403,0.156688582479538,0.0819096367020525,0.0155565202742375,0.0129211958647372,0.0301460343425781,0.289221780375091,0.100891971001743,0.0598211950825212,0.0916480477143865,0.20134054943129,0.0857436020468292,0.0543027833065456,0.0847707677443779
"LP.01.25",0.360472915070727,0.105885166075163,0.00493854587474356,0.0482418003704819,0.142855259524253,0.0756149701578222,0.198094102379578,0.100203916175665,0.021887134813098,0.16157491451925,0.0198659075988569,0.321343604529494,0.0327409770294593,0.0968131094408194,0.179119828178076,0.126481785966733,0.0187555040614803,0,0.112286594931079,0.430762259370752,0.0791310697421828,0.070879161777988,0.091498005471878,0.213033817187939,0.0494970191666173,0.0731606939104886,0.0703053771113289
"LP.01.28",0.415870162126255,0.179555834171734,0.0956824174980919,0.0374629555182453,0.204178997386188,0.0653165452313646,0.170158239168449,0.0697624577091824,0.0265588366212239,0.0253415516748097,0.0164960456335529,0.264778699799758,0.0508626800338862,0.0771732580360824,0.152750028939742,0.0632583883534486,0.0167530846834213,0.0150125245941735,0.0453978803543906,0.464429810905594,0.104288522715156,0.0648942539217982,0.0744325916220544,0.168179387923466,0.0463610198953477,0.0782802382463523,0.0921436472613812
"LP.01.31",0.316227496864019,0.148999123784777,0.0240420833278132,0.0178140630693432,0.155974677375274,0.0800490570613678,0.180046940564894,0.0507202308331805,0.107021677373979,0.453073023089641,0.107052793186937,0.290379718313632,0.0264528990271428,0.0886145907540339,0.177395043069604,0.000286561868621804,0.0263757880276495,0.002472628861244,0.133652790753673,0.349625383411163,0.0627836734295828,0.0757977654085118,0.0752384659181914,0.135151981952757,0.0634052129034048,0.0868619527344427,0.10017405076571
"LP.01.35",0.285469284678844,0.0943667242177649,0.082140795816848,0.0636466861135598,0.15996152342582,0.0283186285561937,0.18297071668635,0.0676551366058163,0.0132618867303856,0.0215617577578853,0.0350715503007785,0.258548211897986,0.0605494926584741,0.0949453611181838,0.184059973035824,0.135898902123611,0.0428407269296925,0.00186164960083847,0.0212541345641795,0.404971796102001,0.109913966374324,0.0631721562332432,0.0909616045843604,0.253607484732285,0.167442230543509,0.0302230268426808,0.0485722246275965
"LP.01.40",0.352378572279205,0.0385356053622287,0.129825470053479,0.0312264119444006,0.163642191882505,0.0444919648809482,0.161396058798406,0.0938996089252416,0.0614595887617295,0.0502524767311629,0.100437630246622,0.217051319605425,0.0615823759829089,0.121389766836085,0.168638955249711,0.0280030264809013,0.0928139850098903,0,0.544078752459593,0.439554527411062,0.0588053120344902,0.0955476164337725,0.0882203373426705,0.15075623394062,0.113130079328653,0.00590131358498578,0.0866707830562919
"LP.01.42",0.327639735947126,0.0740194129778325,0.0592866091571587,0.0323432902587365,0.185961676343959,0.0139427488487521,0.160245383257521,0.0511873726257829,0.051981318041543,0.0115332206955973,0.0810676220244789,0.293913649356703,0.0477128123322974,0.0737646743680595,0.194172271584629,0.0397540865630159,0.0398412978276721,0,0.360355805508425,0.509579357804428,0.0738522437174904,0.077391893136269,0.085574386043772,0.208720896290657,0.0883993143871807,0.00583707585799543,0.0626179174188506
"LP.01.46",0.339337151769776,0.166655748170697,0.095064465134254,0.0409401068203351,0.123960424517652,0.0377235495996378,0.194110174075064,0.0468221509956444,0.0221559409881144,0.318213414755131,0.0454693977412362,0.25305799854957,0.0422704129885427,0.116461110620908,0.154895074146478,0.0769443535923848,0.0792013380299327,0.0013606433528481,0.0482196452121153,0.349057803847214,0.0504130247253154,0.0662499862632302,0.109465467729023,0.140773897143114,0.0716677567818249,0.113540376839429,0.0760423484753216
"LP.01.58",0.375916317237463,0.0697126330311143,0.0122899431733339,0.0226332373026568,0.174291741134861,0.0311950841634698,0.172703178462673,0.0900508518392101,0.0663445236354375,0.118211499092836,0.0517218141253644,0.304532177924473,0.0484822637652813,0.086822974899077,0.175420653299203,0.0434311586685049,0.03179258211457,0,0.200087441908934,0.556947291670505,0.0574294849221336,0.084559241182406,0.0779896449341871,0.239898290198321,0.0979138497344739,0.0189099876527326,0.0875259903624507
"LP.01.61",0.307172283483882,0.041011458875958,0.0118628820966685,0.0335737725885616,0.1826123245903,0.0264545117249763,0.175804656351051,0.0406187762533984,0.0586411839059081,0.173093307607559,0.14905268662002,0.295031473488885,0.0639299358405303,0.082012329912221,0.138688035282612,0.00936495506210249,0.0291338357469941,0.00466497156760494,0.601688406444652,0.379499703780074,0.0585014915269298,0.0709664190452649,0.0743245938556974,0.198519298330904,0.0490715076222612,0.0207148335574714,0.0906470188807684
"LP.01.66",0.307251004013294,0.0503645241449684,0.0288466999172497,0.0551746326759119,0.130346370947112,0.0126173115539104,0.161675120004952,0.0443359438334424,0.0182147808022579,0.115951580011494,0.0279388017952207,0.346340458016647,0.0282146979096328,0.0560858501343024,0.198708035895219,0.119685706022292,0.0332276804862362,0.0225255703174883,0.106697322275921,0.416281176313458,0.142053794456366,0.0804499272915687,0.151646059468461,0.206655498243687,0.145392808113384,0.0554512431303783,0.042987675919918
"LP.01.67",0.365688723614381,0.158664668173503,0.106257540251977,0.0444575235111203,0.167406060180164,0.0881033734476836,0.214351961946493,0.143289211319221,0.0511389645768965,0.212025108640789,0.0447327051332276,0.196712501153367,0.0600574667942469,0.109533638096496,0.158102809788261,0.0564569050604023,0.0139962032531786,0,0.00271637902402302,0.411142323739003,0.0445562261687002,0.0553705802387024,0.074126879921858,0.187836489905527,0.0647253210426411,0.0425753914335622,0.0975952875601462
"LP.01.68",0.364737190227472,0.128514487666774,0.0107794597574299,0.0732280492202435,0.155263201461904,0.170743065868025,0.17941250108797,0.161714629320323,0.0267275255474414,0.161755643325146,0.0071397328671179,0.289737522689062,0.0548255138336996,0.150810179324184,0.152800791809139,0.100193688535683,0.014340236241072,0.008135254245002,0.0236349400956211,0.274574215240994,0.115383076096995,0.0391704411936064,0.0913880082605222,0.211020850633375,0.0595585958726536,0.0868955577618914,0.10000623141223
"Test.FFPE.01",0.356580238666822,0.119225814661375,0.0178926136978016,0.0413152523309307,0.204856534612548,0.0772021782909663,0.185215910013067,0.0919977701445943,0.0795915278450346,0.198274684072767,0.0642125246902256,0.24626707847887,0.0767051520384699,0.1723634255913,0.174468248792671,0.0491384313024371,0.0310664205810521,0,0.330737460572784,0.382009555564401,0.0504692554005762,0.0654803716872256,0.0675735463006994,0.194218942599298,0.0471522336833369,0.0309327894393298,0.0927322332434501
"Test.FFPE.03",0.321605904653529,0.111333159138228,0.0847289908095454,0.0862959317673705,0.094528228641706,0.066895840243233,0.181746089803127,0.0979191498511775,0.00833768211967743,0.213014945067071,0.00646887847842539,0.268633434432707,0.0149387729130405,0.0918549497454808,0.152733122201399,0.0529515213984571,0.0159080352727685,0,0,0.234090210996147,0.0976697331037911,0.0666322463608904,0.112540977661147,0.192182907674721,0.0716582382450884,0.0890205989656653,0.0855285412159871
"Test.FFPE.04",0.417419768243185,0.156543352428985,0.00428057612720062,0.0446798883213033,0.188360175094167,0.0666907293233533,0.184199534419456,0.119721463097659,0.0508412318530276,0.201092312670676,0.0347899370946136,0.248148298315738,0.0527675721609529,0.112279545343242,0.171681221755035,0.0907039124306977,0.0325552625740166,0.00852710918431037,0.0209268595329615,0.41955797141588,0.0872270559195499,0.0582363697873131,0.102413712457341,0.188707958785228,0.0596156390523551,0.0511942098591694,0.0883550769637288
"Test.FFPE.05",0.343411790239048,0.0269192611497881,0.0270220739230143,0.0534175990352672,0.125648437934078,0.040823230537132,0.158124781622162,0.0764408028154598,0.0438842806531945,0.158739366404479,0.0486697780076336,0.300935341652269,0.042399418494157,0.113720293964379,0.200968621303253,0.0972023293707919,0.0455850950107107,0,0.00539634577206569,0.439334915047579,0.0886358301394391,0.0775430172551881,0.11903527364821,0.234849561809364,0.109782876805836,0.0489303155417326,0.0716787749599743
"Test.FFPE.06",0.266071400101795,0.0866331787043195,0.104584181612306,0.0286195508008633,0.198150621143386,0.0764748438573769,0.207456658639476,0.113841614432524,0.0699243419854207,0.19007640025342,0.180457975636491,0.236662403140791,0.049942774177081,0.083599557919653,0.191461999730403,0.062547650157132,0.0230480241841486,0,0.255840782311986,0.519119854121768,0.0604740697094487,0.0726796631640028,0.06579084094032,0.213897944084542,0.0429616262321764,0.0245568878854512,0.0804794826395409
"Test.FFPE.08",0.388244606743611,0.0870016467617574,0.00994047512919599,0.0347286361063461,0.17967811325683,0.0493400676863069,0.189048746538043,0.0347506144345205,0.0678631618761024,0.218577152574417,0.0559163375070977,0.326111918590183,0.0448007664466753,0.053755632539388,0.173032463293968,0.0347866725417524,0.0900240487358531,0.0213691860086659,0.305341091801573,0.483236565343524,0.0945999155123021,0.0647223799623391,0.0762621541262161,0.176997965745823,0.0672263100108409,0.0127199191052314,0.0679183649015651
"R3388_YZ_1",0.371863210528312,0.165832824617799,0.00525580863319217,0.0448020940652769,0.196550619635735,0.116918626858266,0.213488196530636,0.0707484661993089,0.0863993710716313,0.169285524264168,0.046531503341703,0.312746898953927,0.0847884500008368,0.115553639230484,0.13732607011972,0.00905055593434922,0.0199092712822175,0.0302717992412943,0.0471336133808422,0.370776342693461,0.058435289181444,0.0455365971666903,0.0678244647467891,0.17940689662461,0.0327993780717659,0.0531930073552718,0.159796800378141
"R3388_YZ_2",0.333359949154707,0.131796708384077,0.0890087657843587,0.064842452573706,0.118117965181848,0.119085713425569,0.172644106293405,0.146278471958457,0.0216893755882592,0.132723142171824,0.0108708696858858,0.253121115110694,0.0257287070437728,0.117318247666101,0.154060532756569,0.144837556750437,0.0243843610452717,0.00778919076750007,0.0354192178698846,0.29388716435903,0.134709236029426,0.0681869321114754,0.130501529793312,0.128456667639459,0.138898951031855,0.131673243909565,0.0825740179087158
"R3388_YZ_3",0.455981395132899,0.079029847129014,0.0203467306519518,0.0384233551988572,0.201281265350405,0.125209291305498,0.137006417185934,0.16462556417182,0.0740564124718296,0.124470104400408,0.013047886732729,0.213654996603937,0.0659524720868824,0.101542560355916,0.146573642069677,0.00707145073491787,0.0219388002381321,0,0.0421990533378107,0.333093555019463,0.0695813679266709,0.0311928121269062,0.0732814610867911,0.25217929208635,0.0149074679099138,0.0354125082500347,0.19157105223073
"R3388_YZ_4",0.364765227559978,0.185316179435658,0.00779202501893647,0.0200375589872627,0.11809700459591,0.0513728953308406,0.166641176579096,0.0578213152344825,0.0703681987852978,0.315847924511225,0.0717659590786986,0.314892641455194,0.0444428111400911,0.131732565793275,0.15328299394173,0.0643883557734863,0.0287133442065976,0,0.236914409824702,0.0294682491625099,0.0872598049476351,0.071524142383299,0.172934438572755,0.0897250757396601,0.0583819583637203,0.0808824340815832,0.0960658241402797
"R3388_YZ_5",0.290133618587739,0.146324288860584,0.052875777689857,0.062103349550485,0.134987527494324,0.0110753072432529,0.202507479105423,0.0112276477970434,0.0462520087024339,0.19452543555193,0.0367492261362339,0.259485617438269,0.0960867588201902,0.114054932185696,0.178639532851373,0.138622392369024,0.0602974493465645,0.0171035896996214,0.225512781513391,0.244466201823012,0.0898201571593487,0.0910347551937289,0.138062366850607,0.106500523777468,0.163081171690781,0.0567666777665683,0.0841438933683793
"R3388_YZ_6",0.332176828442651,0.108201936298535,0.13840644291401,0.0221616321245829,0.172585964096516,0.0991428963229537,0.150532206397826,0.106712643918536,0.120924304529349,0.169513142115048,0.190423751127601,0.219940754968775,0.0686957515292239,0.21999461566209,0.118058292697518,0,0.0641431528504452,0,0.312124416961981,0.00658978264365976,0.0458326328222714,0.0618833602810053,0.139792316034923,0.101341799961008,0.0800770275850428,0.0202776009664984,0.119654661834614
"R3388_YZ_7",0.337940059315002,0.130027175433015,0.0939786218664308,0.057442750616861,0.181061360354115,0.135785900396264,0.155318742615478,0.197184389911021,0.0650413327300272,0.128134775758817,0.017796689785351,0.267749652554161,0.0690058266656817,0.152694572235962,0.150545197874501,0.0532513922132693,0.0177122827314165,0,0.0241111260556182,0.265300784307763,0.0761633272459226,0.0525422346704082,0.075628818279826,0.196475799435035,0.0339734409975614,0.0977743644258101,0.175874129881463
"R3388_YZ_9",0.358001310647336,0.0568948360196159,0.0214844519097715,0.0553132134998441,0.148491679665049,0.0125888841765896,0.140641210773959,0.0400375327444129,0.0303601036735452,0.137246276891713,0.0440658570214227,0.324546192695774,0.0588265717483862,0.0760711777602341,0.204557297779385,0.048194998498907,0.041577143323531,0,0.414478127924662,0.422392026033079,0.111436174839577,0.0644285352212538,0.0908538566856058,0.206139465933117,0.102593254748859,0.0190135750711884,0.0517443924471173
"R3388_YZ_10",0.373870295322991,0.189184555349768,0.0669389374573801,0.0473097999495181,0.155173111529233,0.101488663746897,0.190941857132412,0.0957599567884746,0.0653897914090928,0.252982337468317,0.01995440161395,0.276475790362503,0.0862179699831146,0.111216018030674,0.142353616163666,0.0699472405204752,0.02210500477326,0.0206014070499876,0.0237962249944419,0.307683021168108,0.0924935395566029,0.0617832339459513,0.109004633991889,0.106090191558705,0.0559915509103135,0.0671734138614181,0.135988366730255
